name	HE901CAN	HE904CAN	HE907CAN	HE917CAN	ME1LP	OM79LP	ME9LP	HE132MP	HE174MP	HE358MP	OM92LS	ME5MS	OM177MS	OM88MS	TB55MS	TB56MS	OM160ES	OM200ES	TB103ES	TB108ES	HE279SECR	HE374AHE	HE913SHE
DDX11L2	44,9067	40,5458	33,5251	31745	30865	28,9047	34,2667	32637	18,8352	30,9745	53,5711	38,7001	30,8439	28,3083	29,8412	38,6665	31,9938	33,2436	24,2414	36,3815	35,0632	37,0718	33,5007
OR4F17	4,32311	4,65626	4,1941	4,3104	4,8174	9,31437	5,12533	4,43139	7,85424	7,25474	8,36939	4,56335	5,51666	4,99831	25,8647	27,7122	5,53243	5,05041	12,2119	19,4293	4,40628	3,9135	4,83353
LOC100288692	29,0838	27,8024	24,1402	22,5227	27,6825	14,7524	22,6434	26,5864	19,8069	22,6803	25,5157	25,2729	22619	24,6601	13,3412	15,3469	27,6588	16862	15,9488	20,5927	23,9047	21,4512	20,8611
FLJ45445	222,29	120381	151837	185416	177249	77,0076	156072	194926	35,5758	45,4748	36,6409	184077	189659	104888	21,3846	14,0022	171833	103008	27,9874	42,0533	149403	126834	119909
LOC100132062	19469	19,4655	18,8206	17,6453	15,4179	20,5128	14,4133	25,1453	17,3633	15,0143	12,4556	17,6453	17,6453	16,0875	13,4458	16,1945	17,6453	17,5247	11292	17,6453	27,6325	26,6982	16,1935
LOC100507658	11,7931	10,2358	9,5834	8,97682	7,69599	25,9995	7,70943	9,77383	24,4964	14,8145	71559	9,61548	8,06852	8,04247	7,05075	15,5276	9,77383	7,29118	13,8507	12,7794	10,6919	11,2528	8,71221
COX1	3623,49	3716,85	3878,58	3959,1	3565,36	61,7471	3361,07	3815,46	66,5261	219994	140632	3760,34	4068,34	3944,85	89,9005	146257	3685,1	4234,19	105083	111205	3835,05	3603,71	3733,77
FLJ45340	185758	112322	114134	173436	161951	50298	154622	173053	4,43297	22,6461	34,3349	151927	182524	167529	115212	5,82651	167086	86,7572	20,2511	5,59979	142,7	172386	76,2878
OR4F16	6,38396	9,50559	11,7492	5,06189	6,94829	8,3554	4,05413	12,3577	8,49754	6,01011	4,78706	7,17476	7,99382	5,62126	8,57813	3,48144	5,94298	11,3041	8,36182	5,53182	11,1287	12,7355	5,68031
ND2	52,5634	61,7672	61501	59716	50,9214	10414	49,7006	64,3229	7,19354	19,1374	8,97194	46,3781	59866	52,1868	15,8478	15,6365	58,1427	60767	10,0053	10,3746	59,5908	45012	56,9107
COX2	5401,14	5771,44	6067,97	6124,22	5077,24	70,5394	4779,66	5936,53	14,8987	113374	97041	5541,34	6382,79	6251,3	26,5073	21,9361	5678,07	6299,97	31,0393	97,5842	5694,99	5365,41	6150,8
LOC100288692	19,2947	18,1948	18,3936	18,5797	20,3324	11,5696	19,5611	21,3846	13,0096	25,5496	13,7036	18,0833	17,8153	18,0888	10,2705	18,3576	18,4951	14,6551	12,7141	18,1465	18,8138	18,0229	19,6404
FLJ45445	32,2266	12,8934	16,9611	24,3986	9,34848	18,9276	17695	14,4092	18,2767	10,1431	24,6481	13,5583	18,2554	14,1999	6,07028	10,6135	13,9656	15,5612	45,6186	96,3694	15,2068	13,8639	16,8085
FAM87A	34,1919	33,1344	34,7834	32,1087	35,3806	18,9998	36,0383	48,4823	15,4057	27976	16,5561	37,4496	28,7071	24,8497	18,6194	14,2281	30,7667	29,6078	24,2497	17,8603	37,1952	31,3089	30,6837
LOC643837	24,6987	21,4708	30845	24,6863	29,2224	18,4169	28,7506	29,0541	13,5557	15,0962	19,1984	26,2563	27,2134	25921	18,9479	15,9014	28,2858	32,2449	11,9928	14,1498	32,1244	33,0851	27,3823
LOC100288175	74,6413	65,9159	64,3211	65,4011	80,7546	18081	70,8776	72,4592	15,8527	20,7855	15,0871	72,3411	64,3303	61,2394	18,4119	24,8553	70224	52,6423	20,3751	15,3695	63,7503	58,7918	55,2636
LOC254099	54,2313	37,5846	43152	34,5712	54,6744	54,2146	50,6866	47,4938	68,9901	30124	33,9151	61,2183	44,5504	56,0393	24,1008	27,34	51,0897	41143	26,6286	16,6464	35,0605	31,6301	37,8943
TTLL10	72,5847	71,1133	63,0855	66118	72,6568	23,5111	65297	69,8258	22,4837	24,9902	18,2842	67,7464	60,7843	60,7322	18,0277	24,1372	67,6034	47,3786	21363	20,3428	64,3044	57,1815	54,4248
B3GALT6	83949	67,4793	79,0433	67,0805	84,1348	15,3974	69194	68,7865	20,1947	26,4344	22,9572	78,4829	64,3825	54,6728	23,9507	23,0275	68,7589	58237	29,3033	16,4462	57,5868	61,7207	66153
SCNN1D	60,3248	57,3635	53,0743	54,6042	59,9572	25,4449	58,7597	57,8088	20,6468	18,8831	20,3698	54,0554	55,0892	50,1624	19,7042	18,1438	58,8032	41,8359	20,6387	21,5565	54,7936	51,2844	47,8958
PUSL1	98,2667	70,7586	79,2531	77,9171	98,1087	15,8021	83,3787	88,4433	11,6652	18,6024	13,6504	95,9023	73,5074	76,6174	15,8093	16,1662	79,3348	67,0654	12,8159	13061	72,8934	69,7853	72,5213
GLTPD1	45,3915	37,2519	52,6834	34,1354	43,4872	22806	44235	46,2363	16,8064	17,5648	38,2624	46,9759	41,5318	46653	20,8441	20,5796	44,1328	37,1097	11,9489	20,2571	41153	32,5067	42,3394
TAS1R3	43,3627	41,66	41,1674	37,4757	43,5914	20,5382	41,8506	38,3644	9,36906	22,5373	13,3711	42,2166	36,0673	38,3758	14,8061	14,7351	42,2236	31,5994	17,6536	12,2725	38,8632	36,0673	33,9012
LOC148413	12,7126	13,7914	11,9593	7,54354	15638	30274	15,8408	20,3784	30,8017	5,52937	55,3924	11,3363	19,5103	11,5324	31,9854	37,1588	10,2834	31,4133	23,4156	118058	12,5288	9,57775	10,6736
TMEM88B	78,9539	67,8289	70474	63,2876	82,8555	10,4177	72,6771	66,2786	13,0884	12,8302	45,3577	64,2892	70,1387	67,9457	19,1804	17,4206	79,1947	60,1731	9,1265	12,6136	65,8384	68,0564	66,4497
VWA1	66,7955	66,6037	54,4252	54,1486	66,5225	31,7334	59,2585	58,5721	17,0545	16,3209	26,5511	57,5428	54,8915	51,0259	33,0179	29,5052	61,0324	44,4927	20,5891	22685	46,7838	46,3429	50,9949
